execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
56955,Taylor,BRET,Steven,Bret Steven Taylor,1108033,Bret Taylor,BRET,Steven,,,,Taylor,,1,fullname+cusip
57347,"Roks, B.Sc., M.Sc.,",EDWIN,,"Edwin Roks, B.Sc., M.Sc., Ph.D.",1345036,Doctor Edwin Roks,EDWIN,,,,,Roks,,1,fullname+cusip
57613,Clarke,MICHAEL,J.,Michael J. Clarke,456223,Michael Clarke,MICHAEL,Joseph,,,,Clarke,ME,1,fullname+cusip
57613,Clarke,MICHAEL,J.,Michael J. Clarke,456223,Michael Clarke,MICHAEL,Joseph,,,,Clarke,ME,3,fullname+ticker
57614,Liebel,HARTMUT,,Hartmut Liebel,807018,Hartmut Liebel,HARTMUT,,,,,Liebel,,10,fullname+age
57615,Dastoor,MICHAEL,,Michael Dastoor,540451,Mike Dastoor,MICHAEL,Meheryar,K,,Mike,Dastoor,u,2,partialname+cusip
57700,Slootman,FRANK,,Frank Slootman,843302,Frank Slootman,FRANK,,,,,Slootman,,1,fullname+cusip
58054,"Boerner, Ph.D.",CHRISTOPHER,S.,"Christopher S. Boerner, Ph.D.",1093830,Doctor Chris Boerner,CHRISTOPHER,S,,,Chris,Boerner,MA PhD,1,fullname+cusip
59360,"Torley, M.B. Ch. B.,",HELEN,I.,"Helen I. Torley, M.B. Ch. B., M.R.C.P.",1127175,Doctor Helen Torley,HELEN,I,,,,Torley,,1,fullname+cusip
60254,"Gano, Ph.D.",KYLE,W.,"Kyle W. Gano, Ph.D.",1313292,Doctor Kyle Gano,KYLE,William,,,,Gano,Ph.D,1,fullname+cusip
60255,"Gorman, Ph.D.",KEVIN,C.,"Kevin C. Gorman, Ph.D.",206587,Doctor Kevin Gorman,KEVIN,C,,,,Gorman,MBA PhD,1,fullname+cusip
60423,Gala,RENEE,D.,Renee D. Gala,1301965,Renee Gala,RENEE,D,,,,Gala,,10,fullname+age
60463,Sievers,KURT,,Kurt Sievers,1096978,Kurt Sievers,KURT,,,,,Sievers,,3,fullname+ticker
64480,Barua,NEIL,,Neil Barua,544533,Neil Barua,NEIL,,,,,Barua,,1,fullname+cusip
64496,Pops,RICHARD,F.,Richard F. Pops,104962,Richard Pops,RICHARD,Frank,,,,Pops,,3,fullname+ticker
65036,Cook,JAMES,S.,James S. Cook,1454751,James Cook,JAMES,G,,,,Cook,,12,partialname+age
65036,Cook,JAMES,S.,James S. Cook,203273,Jim Heppelmann,JAMES,Edward,,,Jim,Heppelmann,,12,partialname+age
65036,Cook,JAMES,S.,James S. Cook,372799,Jim Cook,JAMES,C,,,Jim,Cook,,12,partialname+age
65036,Cook,JAMES,S.,James S. Cook,1097626,Doctor Jim Cook,JAMES,MacFarlane,,,Jim,Cook,,12,partialname+age
65036,Cook,JAMES,S.,James S. Cook,2566536,Jim Holton,JAMES,W,,,Jim,Holton,,12,partialname+age
65931,Steele,GARY,L.,Gary L. Steele,1252966,Gary Steele,GARY,L,,,,Steele,,1,fullname+cusip
66237,McNamara,MICHAEL,M.,Michael M. McNamara,377031,Mike McNamara,MICHAEL,M,,,Mike,McNamara,MBA,3,fullname+ticker
