execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
14304,"Calderoni, CPA",ROBERT,M.,"Robert M. Calderoni, CPA",52347,Bob Calderoni,,,,,,,,9,existing
15533,Riccitiello,JOHN,S.,John S. Riccitiello,47756,John Riccitiello,JOHN,S,,,,Riccitiello,,1,fullname+cusip
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,RICHARD,L,,,Rick,Clemmer,,1,fullname+cusip
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,RICHARD,L,,,Rick,Clemmer,,3,fullname+ticker
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,,,,,,,,9,existing
15620,"Truchard, Ph.D.",JAMES,J.,"James J. Truchard, Ph.D.",92037,Doctor Jim Truchard,JAMES,Joseph,,,Jim,Truchard,MS PhD,1,fullname+cusip
17260,Aldrich,DAVID,J.,David J. Aldrich,327474,Dave Aldrich,DAVID,J,,,Dave,Aldrich,,1,fullname+cusip
18070,Foate,DEAN,A.,Dean A. Foate,200556,Dean Foate,DEAN,A,,,,Foate,MS,1,fullname+cusip
18346,"Lu, Ph.D.",KEH-SHEW,,"Keh-Shew Lu, Ph.D.",34717,Doctor Keh-Shew Lu,KEH-SHEW,,,,,Lu,,1,fullname+cusip
18569,Gonzalez,RICHARD,A.,Richard A. Gonzalez,33494,Rick Gonzalez,RICHARD,A,,,Rick,Gonzalez,,1,fullname+cusip
18580,Swoboda,CHARLES,M.,Charles M. Swoboda,90127,Chuck Swoboda,CHARLES,M,,,Chuck,Swoboda,,1,fullname+cusip
18929,Hurd,MARK,Vincent,Mark Vincent Hurd,86007,Mark Hurd,MARK,Vincent,,,,Hurd,,1,fullname+cusip
19583,Huang,JEN-HSUN,,Jen-Hsun Huang,83377,Jensen Huang,JEN-HSUN,,,,Jensen,Huang,MS,1,fullname+cusip
20238,Hendrickson,JOHN,T.,John T. Hendrickson,270780,John Hendrickson,JOHN,T,,,,Hendrickson,MBA,3,fullname+ticker
20625,McDermott,WILLIAM,R.,William R. McDermott,206474,Bill McDermott,WILLIAM,R,,,Bill,McDermott,MBA,1,fullname+cusip
20625,McDermott,WILLIAM,R.,William R. McDermott,206474,Bill McDermott,,,,,,,,9,existing
20629,Mondello,MARK,T.,Mark T. Mondello,63117,Mark Mondello,MARK,Thomas,,,,Mondello,,1,fullname+cusip
21474,"Davern, CPA",ALEXANDER,M.,"Alexander M. Davern, CPA",205003,Alex Davern,ALEXANDER,M,,,Alex,Davern,,1,fullname+cusip
21604,Mehrotra,SANJAY,,Sanjay Mehrotra,205405,Sanjay Mehrotra,SANJAY,,,,,Mehrotra,MS,1,fullname+cusip
21626,"Delly, CPA",GAYLA,J.,"Gayla J. Delly, CPA",205183,Gayla Delly,GAYLA,J,,,,Delly,CPA,1,fullname+cusip
21770,Mionis,ROBERT,A.,Robert A. Mionis,1084894,Rob Mionis,ROBERT,A,,,Rob,Mionis,,10,fullname+age
22024,Bruggeworth,ROBERT,A.,Robert A. Bruggeworth,181113,Bob Bruggeworth,ROBERT,A,,,Bob,Bruggeworth,,1,fullname+cusip
22451,Kelly,JAMES,G.,James G. Kelly,275263,Jim Kelly,JAMES,G,,,Jim,Kelly,CPA,1,fullname+cusip
22632,Peng,VICTOR,,Victor Peng,339239,Victor Peng,VICTOR,,,,,Peng,MSEE,1,fullname+cusip
22632,Peng,VICTOR,,Victor Peng,339239,Victor Peng,,,,,,,,9,existing
22832,Jackson,KEITH,D.,Keith D. Jackson,200418,Keith Jackson,KEITH,D,,,,Jackson,MS,1,fullname+cusip
22978,Kotick,ROBERT,A.,Robert A. Kotick,69696,Bobby Kotick,ROBERT,A,,,Bobby,Kotick,,1,fullname+cusip
22978,Kotick,ROBERT,A.,Robert A. Kotick,69696,Bobby Kotick,,,,,,,,9,existing
23011,Lechleiter,JOHN,C.,John C. Lechleiter,33316,Doctor John Lechleiter,JOHN,C,,,,Lechleiter,Phd,1,fullname+cusip
23051,"Leiden, M.D., Ph.D.",JEFFREY,Marc,"Jeffrey Marc Leiden, M.D., Ph.D.",33491,Professor Doctor Jeff Leiden,JEFFREY,Marc,,,Jeff,Leiden,MD PhD MA,1,fullname+cusip
23462,Tatarinov,KIRILL,,Kirill Tatarinov,272180,Kirill Tatarinov,KIRILL,,,,,Tatarinov,MBA,1,fullname+cusip
23585,Block,KEITH,Gordon,Keith Gordon Block,33569,Keith Block,KEITH,G,,,,Block,MS,1,fullname+cusip
24319,Griffin,LIAM,K.,Liam K. Griffin,327486,Liam Griffin,LIAM,K,,,,Griffin,MBA,1,fullname+cusip
24349,Bousbib,ARI,,Ari Bousbib,33049,Ari Bousbib,ARI,,,,,Bousbib,MS MBA,1,fullname+cusip
24736,"Papa, Jr.",JOSEPH,C.,"Joseph C. Papa, Jr.",206108,Joe Papa Jr,JOSEPH,C,,,Joe,Papa Jr,MBA,3,fullname+ticker
26136,Swan,ROBERT,Holmes,Robert Holmes Swan,48076,Bob Swan,ROBERT,Holmes,,,Bob,Swan,,1,fullname+cusip
26171,Nuti,WILLIAM,R.,William R. Nuti,201483,Bill Nuti,WILLIAM,R,,,Bill,Nuti,,1,fullname+cusip
26385,Henshall,DAVID,James,David James Henshall,205153,David Henshall,DAVID,James,,,,Henshall,,1,fullname+cusip
26449,Smith,GRAHAM,Vivian,Graham Vivian Smith,271741,Graham Smith,GRAHAM,V,,,,Smith,CA,1,fullname+cusip
26635,"Milligan, Ph.D.",JOHN,F.,"John F. Milligan, Ph.D.",48201,Doctor John Milligan,JOHN,F,,,,Milligan,PhD,1,fullname+cusip
27067,Moorthy,GANESH,,Ganesh Moorthy,61667,Ganesh Moorthy,GANESH,,,,,Moorthy,MBA,1,fullname+cusip
27208,Catz,SAFRA,Ada,Safra Ada Catz,33503,Safra Catz,SAFRA,Ada,,,,Catz,,1,fullname+cusip
27549,"Ingram, Esq.",DOUGLAS,S.,"Douglas S. Ingram, Esq.",46796,Doug Ingram,DOUGLAS,Stephen,,,Doug,Ingram,JD,1,fullname+cusip
28073,Shannon,COLIN,,Colin Shannon,334096,Colin Shannon,COLIN,,,,,Shannon,MBA,1,fullname+cusip
28220,Whitehurst,JAMES,Moon,James Moon Whitehurst,333755,Jim Whitehurst,JAMES,Moon,,,Jim,Whitehurst,MBA,1,fullname+cusip
28834,Milligan,STEPHEN,D.,Stephen D. Milligan,325964,Steve Milligan,STEPHEN,D,,,Steve,Milligan,CPA,1,fullname+cusip
28880,Smith,BRAD,D.,Brad D. Smith,444827,Brad Smith,BRAD,D,,,,Smith,,1,fullname+cusip
29095,"Frazier, J.D.",KENNETH,C.,"Kenneth C. Frazier, J.D.",31551,Ken Frazier,KENNETH,C,,,Ken,Frazier,,1,fullname+cusip
