ticker,boardname,boardid
UCTT,ULTRA CLEAN HOLDINGS INC,488272
JAZZ,JAZZ PHARMACEUTICALS PLC,488479
EBS,EMERGENT BIOSOLUTIONS INC,550958
MPWR,MONOLITHIC POWER SYSTEMS INC,580845
STM,STRATHMORE MINERALS CORP (Strathmore Resources Ltd prior to 09/2000) (De-listed 09/2013),597955
WOLF,GREAT WOLF RESORTS INC (De-listed 05/2012),599873
PBH,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),600759
U,URANIUM PARTICIPATION CORP (De-listed 07/2021),745013
SLAB,SPACELABS HEALTHCARE INC (De-listed 01/2008),756809
AVGO,BROADCOM INC (Broadcom Ltd prior to 04/2018),817439
HALO,HALOZYME THERAPEUTICS INC,852951
FSLR,FIRST SOLAR INC,897123
CSIQ,CANADIAN SOLAR INC,947629
SLH,SOLERA HOLDINGS INC (De-listed 03/2016),956561
AMRX,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),1560214
OGN,OROGEN ROYALTIES INC (Evrim Resources Corp prior to 08/2020),1562505
P,PRIMERO MINING CORP (Mala Noche Resources Corp prior to 08/2010) (De-listed 05/2018),1569335
FTNT,FORTINET INC,1606380
MXL,MAXLINEAR INC,1635432
AZPN,ASPEN TECHNOLOGY INC (De-listed 03/2025),1649258
NXPI,NXP SEMICONDUCTORS NV,1656513
PATH,NUPATHE INC (De-listed 02/2014),1656521
TSM,TASMAN METALS LTD (De-listed 08/2016),1656815
PBH,PREMIUM BRANDS HOLDINGS CORP (Premium Brands Income Fund prior to 07/2009),1692432
P,PANDORA MEDIA INC (De-listed 02/2019),1706477
ZNGA,ZYNGA INC (De-listed 05/2022),1743287
GWRE,GUIDEWIRE SOFTWARE INC,1792728
ENPH,ENPHASE ENERGY INC,1810090
SPLK,SPLUNK INC (De-listed 03/2024),1813585
PFPT,PROOFPOINT INC (De-listed 08/2021),1813890
NOW,SERVICENOW INC,1830138
NVO,NOVO RESOURCES CORP (Galliard Resources Corp prior to 06/2011),1916059
ABBV,ABBVIE INC,1921326
ZTS,ZOETIS INC,1929138
IQV,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),1951118
DATA,TABLEAU SOFTWARE INC (De-listed 08/2019),1953153
PTCT,PTC THERAPEUTICS INC,1959651
CRCL,CARACAL ENERGY INC (De-listed 07/2014),1966390
SAGE,SAGE THERAPEUTICS INC (De-listed 07/2025),2125688
CTLT,CATALENT INC (De-listed 12/2024),2129696
FIG,CI Investment Grade Bond ETF (CI First Asset Investment Grade Bond ETF prior to 04/2021),2159823
SYNH,SYNEOS HEALTH INC (INC Research Holdings Inc prior to 01/2018) (De-listed 09/2023),2164733
PRAH,PRA HEALTH SCIENCES INC (De-listed 07/2021),2166779
INDV,INDIVIOR PHARMACEUTICALS INC (Indivior PLC prior to 01/2026),2200546
INDV,INDIVIOR PHARMACEUTICALS INC (Indivior PLC prior to 01/2026),2200546
QRVO,QORVO INC,2204149
SEDG,SOLAREDGE TECHNOLOGIES INC,2231001
EVH,EVOLENT HEALTH INC,2292952
BXLT,BAXALTA INC (De-listed 06/2016),2301441
HPE,HEWLETT PACKARD ENTERPRISE CO,2358912
MEDP,MEDPACE HOLDINGS INC,2504679
DELL,DELL TECHNOLOGIES INC,2519758
BIVV,BIOVERATIV INC (De-listed 03/2018),2607844
PENG,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),2660935
APLS,APELLIS PHARMACEUTICALS INC,2725802
AVYAQ,AVAYA HOLDINGS CORP (De-listed 02/2023),2762605
VRT,VERTIV HOLDINGS CO (GS Acquisition Holdings Corp prior to 02/2020),2825901
ELAN,ELANCO ANIMAL HEALTH INC,2918725
ESTC,ELASTIC NV,2924705
MRNA,MODERNA INC,2959246
CHNG,CHANGE HEALTHCARE INC (De-listed 10/2022),3049380
HIMS,HIMS & HERS HEALTH INC (Oaktree Acquisition Corp prior to 01/2021),3059049
U,UNITY SOFTWARE INC (UNITY TECHNOLOGIES),3081537
VIR,VIR BIOTECHNOLOGY INC,3092905
PPD,PPD INC (De-listed 12/2021),3158781
CTEV,CLARITEV CORP (MultiPlan Corp prior to 02/2025),3165150
LEGN,LEGEND BIOTECH CORP,3198908
RPRX,ROYALTY PHARMA PLC,3201625
MCFE,MCAFEE CORP (De-listed 03/2022),3286846
ALGM,ALLEGRO MICROSYSTEMS INC,3291073
VTRS,VIATRIS INC (Upjohn Inc prior to 11/2020),3299324
APP,APPLOVIN CORP,3382543
PATH,UIPATH INC,3384931
OGN,ORGANON & CO,3394496
WOLF,GREY WOLF ANIMAL HEALTH CORP (Magen Ventures I Inc prior to 23/2022),3408893
CFLT,CONFLUENT INC (De-listed 03/2026),3411706
TWKS,THOUGHTWORKS HOLDING INC (De-listed 11/2024),3449260
Q,SILVERCO MINING LTD (Quetzal Copper Corp prior to 11/2025),3463500
GFS,GLOBALFOUNDRIES INC,3469267
VRTX,VORTEX ENERGY CORP,3597877
SAGE,SAGE POTASH CORP,3626382
FTRE,FORTREA HOLDINGS INC,3659640
ARM,ARM HOLDINGS PLC,3684000
SNDK,SANDISK CORP,3929783
CRCL,CIRCLE INTERNET GROUP INC,3973318
FIG,FIGMA INC,4004264
Q,QNITY ELECTRONICS INC,4041540
