tic,sic,gvkey
SKYE,2836,22116
HMTXF,2836,22215
DFNS,7372,22320
TLRY,2834,22387
BZYR,2836,22401
PVLA,2836,22590
VERU,2834,22817
EPIX,2836,22964
AUID,7372,23001
ATYR,2836,23627
VRTX,2836,24344
BIIB,2836,24468
BCDA,2836,24598
SYRE,2836,24599
SNPS,7372,24975
LFVN,2834,25027
CVU,3728,25726
ACRS,2834,25904
WVE,2836,26340
VYGR,2836,26341
AXSM,2836,26349
DTSS,7372,26415
NPRLF,7372,26527
BBLG,2836,26579
CRVO,2836,26809
OTLK,2836,26817
BETRF,2836,26828
MBRX,2836,26873
EDIT,2836,26874
PTIX,2836,26922
VXLLF,2836,27026
NTLA,2836,27155
APVO,2836,27338
UAVS,3721,27339
RNAC,2836,27354
WOLF,3674,27794
CTGL,2834,27809
MCHP,3674,27965
SPNS,7372,28384
SVMB,7372,28401
INCY,2836,29127
BYSI,2836,29207
BCRX,2836,29837
CYPH,2836,29914
HYFT,2836,30449
TARO,2834,30554
ATON,2836,31102
OVID,2836,31112
SVRA,2834,31177
ALT,2836,31249
MRSN,2836,31628
RNTX,2836,31656
JWLLF,2834,31796
SYBX,2836,32365
NCNA,2836,32381
SCPH,2836,32601
CUE,2836,32674
ENTX,2836,32749
SLDB,2836,32894
SLGL,2834,32897
SLS,2836,32901
RCKT,2836,32908
EOLS,2834,32919
VXRT,2836,33114
RCUS,2836,33133
LNAI,2836,33155
RFL,2836,33184
HLTRF,2834,33227
AQST,2834,33743
DPLS,3674,33858
LUFFF,2834,33985
ETON,2834,33997
BLTE,2836,34025
YMAB,2836,34135
TCNNF,2834,34214
CRLBF,2834,34504
ORGO,2836,34562
HOTH,2836,34566
CRDL,2836,34570
GOSS,2836,34578
XTKG,7372,34610
ALEC,2836,34616
YCBD,2834,34621
IDYA,2836,35136
BCYC,2836,35137
RCAT,3721,35223
BABYF,2834,35355
VIR,2836,35638
IGMS,2836,35639
OCGN,2836,35712
SITM,3674,35794
PHGE,2836,35814
IMVT,2836,35982
SDGR,7372,36051
BDTX,2836,36052
PASG,2836,36140
ELVN,2834,36204
ORIC,2836,36264
NLSP,2834,36276
DFTX,2834,36288
ZNTL,2836,36301
KROS,2834,36328
NKTX,2836,36642
ALXO,2836,36704
ACET,2836,36987
TSHA,2836,37013
KRON,2836,37102
SPRB,2836,37105
FHTX,2836,37135
CTEV,7372,37188
AVIR,2834,37292
ALGM,3674,37309
GLTO,2836,37310
IRD,2834,37325
EVEX,3721,37373
TAOX,2836,37386
OLMA,2836,37412
DFSC,7372,37512
NAMS,2836,37513
VRPX,2834,37549
KANT,2836,37588
VINC,2836,37592
S,7372,37596
ISPC,7372,37671
MSGM,7372,37674
CGEM,2836,37675
LDTCF,7372,37679
BOLT,2836,37786
IRON,2836,38027
OCS,2836,38121
APP,7372,38212
DRUG,2836,38223
EPRX,2836,38275
GANX,2836,38333
GRRR,7372,38350
AISP,7372,38360
TIL,2836,38386
CMMB,2836,38393
PBM,2836,38400
DV,7372,38412
OKUR,2836,38453
SKYT,3674,38465
EWTX,2834,38467
IMA,2836,38469
RNAZ,2836,38511
LVTX,2836,38513
TSPH,7372,38596
BRNS,2836,38643
PATH,7372,38646
NKGN,2836,38649
UPXI,2834,38661
ATAI,2834,38687
RGC,2834,38705
ANEB,2834,38706
PALI,2836,38711
ZENV,7372,38723
TRML,2836,38738
VERA,2836,38782
SNTI,2836,38783
JANX,2836,38857
EAGRF,7372,38861
UNCY,2836,38867
NRXP,2834,38874
HCWB,2836,38900
VERV,2836,38908
ACXP,2836,38910
IPSC,2836,38920
RANI,2836,39190
ERAS,2836,39198
TNYA,2836,39204
IVVD,2836,39266
VWAV,3728,39268
CADL,2836,39269
CLYM,2836,39271
CELU,2836,39277
SRZN,2836,39417
MYSE,7372,39426
SPIR,8731,39442
TYRA,2836,39477
CLDI,2836,39501
HUMA,2836,39525
WHWK,2836,39527
GDEV,7372,39530
OCEA,2836,39573
APLM,2836,39693
VTYX,2834,39774
GFS,3674,39822
IOBT,2836,39899
GCTS,3674,39903
TSVT,2836,39907
NRSN,2836,39912
GNTA,2836,40237
ENGN,2836,40321
TOYO,3674,40416
CDT,2834,40557
ACLX,2836,40610
ACON,7372,40660
AKTS,2836,40720
FMTOF,7372,41300
SHPH,2834,41309
,3674,41328
ALMU,3674,41441
LIPO,2836,41448
PRME,2836,41615
CVKD,2836,41616
PLRZ,2836,41659
BFRG,7372,41936
AIXI,7372,42013
GDTC,2836,42031
PXDT,8731,43082
APGE,2836,43091
ARM,3674,43285
NMRA,2834,43287
ANL,2836,43382
LXEO,2836,43385
KAPA,2836,43442
IBO,2836,43541
ANRO,2834,43837
NTHI,2834,43842
KYTX,2836,43843
TELO,2834,43928
EXOZ,2836,43931
ALAB,3674,45094
ZENA,7372,45098
BOLD,2836,45157
LOAR,3728,45265
RBRK,7372,45281
SAIL,7372,45768
SION,2836,45769
AARD,2834,45804
BIOA,2834,50567
RAJAF,2834,50881
CTW,7372,51733
DKI,7372,51903
AMBQ,3674,60707
NVAX,2836,61655
TGTX,2834,61711
NICE,7372,61902
AIM,2836,62525
ANSS,7372,63080
DASTY,7372,63169
PEGA,7372,63290
AIMD,2836,63446
AWRE,7372,63454
CSCIF,2836,63562
TGI,3728,63876
SLP,7372,64929
BB,7372,65986
EGTYF,3674,66385
MRCY,3674,66393
TTRX,2836,74422
NAVN,7372,74615
MANE,2834,75443
EIKN,2836,75455
TAK,2834,100718
WTKWY,7372,101361
SAP,7372,103487
BIOYF,2834,106808
BIDCF,7372,108557
AXTI,3674,110760
MSTR,7372,111534
KZIA,2834,117116
MCUJF,2836,119297
LTRN,2836,36394
BHST,2834,36402
KRBPQ,2836,36465
RNA,2836,36473
RPRX,2834,36474
AIXC,2836,36475
LEGN,2836,36482
IMCC,2834,36519
NUMIF,2834,36528
DWTX,2836,36530
LRMR,2836,36536
ITOS,2836,36679
IMTX,2836,36700
IKT,2836,36787
HRMY,2834,36847
REVB,2836,36848
MAXN,3674,36853
FROG,7372,36945
IMNM,2836,37035
PMVP,2836,37036
CALC,2834,37062
PRLD,2836,37063
CCCC,2836,37081
TARS,2834,37082
ALGS,2836,37084
IH,7372,37159
INAB,2836,37352
MRVI,8731,37354
CMPX,2836,37364
PTPI,2834,37473
ABXXF,7372,37574
CLNN,2836,37633
ENVB,2836,37640
MLEC,2836,37684
SCLX,2834,37707
TOITF,7372,37750
PLTK,7372,37752
PHVS,2836,37803
LGVN,2836,37807
VOR,2836,37844
TERN,2834,37848
HIMS,2834,37851
AEON,2836,37857
CGNT,7372,37895
GRI,2836,37938
BNAI,7372,38040
NUVB,2834,38076
COEP,2836,38082
SOUN,7372,38087
VRNO,2834,38139
ONMD,7372,38308
CNTB,2836,38422
DSGN,2836,38441
BMEA,2836,38529
ESLA,2836,38535
SGMT,2836,38790
ALZN,2836,38791
ZVSA,2836,38804
CNTA,2836,38805
CTOR,2836,38840
LYEL,2836,38883
CFLT,7372,38931
NAUT,8731,38979
ABOS,2836,38986
JBIO,2836,38987
ZURA,2836,39028
ELEV,2836,39060
LENZ,2834,39063
STVN,8731,39077
MOBX,3674,39121
ENSC,2836,39160
CTKB,8731,39246
BFRI,2834,39342
NUVL,2836,39344
CNTX,2834,39633
INKT,2836,39642
CERO,2836,39649
VLN,3674,39786
ROIV,2836,39791
NVCT,2836,39839
JUNS,2834,39881
NVTS,3674,39931
TCBPY,2836,39959
RDZN,7372,40084
VIGL,2836,40307
PRSO,3674,40460
AMLX,2834,40470
CRDO,3674,40532
ANTX,2834,40833
HLVX,2836,41118
THRD,2836,41522
GNLX,2836,41538
XPER,7372,41539
ICG,3674,41548
MBLY,7372,41640
ACRV,2834,41684
GXAI,7372,41685
SNAL,7372,41686
COYA,2836,41878
HOVR,3721,41998
LMGIF,7372,42244
LAES,3674,42262
FTRE,8731,43026
TSBX,2836,43137
MDCX,2836,43455
FBLG,2836,43574
GELS,2834,43715
CGON,2836,43858
AVBP,2836,43861
CTNM,2834,45151
RAPP,2836,45412
ZSPC,3571,50382
APUS,2836,50724
CURX,2834,50874
FIG,7372,60849
WINT,2836,61140
SMSI,7372,61321
AURX,2836,61673
INBP,2834,61880
LFCR,2834,62169
ABUS,2836,62475
CHKP,7372,63185
EGHSF,7372,63476
BAESY,3721,63477
SDCHD,7372,64077
VCEL,2836,64334
CMDXF,7372,64492
TTWO,7372,64630
INM,2834,64717
QUIK,3674,65036
INTI,2836,65703
ASRT,2834,65944
POWI,3674,66032
BRTX,2836,66042
DSGX,7372,66326
LIMX,2834,66552
LBRX,2834,74388
MPLT,2836,74570
Q,3674,74813
SGP,2834,75352
AGMB,2834,75357
PLYX,2834,75428
SNY,2834,101204
NVS,2834,101310
ELTP,2834,106261
ENAFF,3674,107399
NTWK,7372,107446
AMKR,3674,110039
TCYSF,7372,112820
MTEX,2834,112968
KDOZF,7372,114881
NVDA,3674,117768
BRCNF,2836,118183
CNSP,2834,35403
ANVS,2836,35416
RAPT,2836,35429
SNDL,2834,35430
EMMA,2834,35472
AVCNF,2834,35473
DCOY,2836,35477
SWTX,2836,35600
CRNC,7372,35614
GRTX,2836,35768
ETNB,2836,35776
EH,3721,35832
BGM,2834,35835
NBP,2836,35836
CAN,3674,35837
EVMN,2836,35946
ADTX,2834,35958
ARQT,2834,36028
TARA,2836,36044
ALID,2834,36096
PURR,2836,36356
PLRX,2834,36464
RPTX,2836,36556
GLSI,2836,36558
GBIO,2836,36599
PCVX,2836,36600
FBRX,2836,36609
RLAY,2836,36677
NRIX,2836,36767
ANNX,2836,36768
INZY,2836,36769
KLRS,2836,36786
KYMR,2836,36819
PRFX,2834,36824
CVAC,2836,36828
UPC,2834,36860
AMST,7372,36863
U,7372,36898
DYN,2836,36911
LONA,2834,36915
COGT,2836,36949
EVTL,3721,36970
CMPS,2836,36975
ELUT,2836,36985
STTK,2836,37110
PRAX,2836,37187
MLTX,2836,37240
ETHZ,2834,37350
ALVO,2836,37351
ZFOX,7372,37416
SEER,8731,37425
SPRY,2836,37495
ABCL,2836,37527
RVPH,2834,37534
BCAB,2836,37541
EVAX,2836,37773
IMCR,2836,37812
SNSE,2836,37825
ADAG,2836,37862
VSEE,7372,37866
SANA,2836,37925
SLXN,2836,37967
SPWR,3674,38059
RGTI,3674,38060
AUR,7372,38107
XAGE,2836,38242
RXRX,2836,38474
ZPTA,7372,38485
ERNA,2836,38496
HOWL,2836,38625
QCLS,2834,38664
TCRX,2836,38745
LSBCF,2836,38750
DAWN,2836,38763
OGN,2834,38821
GHRS,2834,38957
DRMA,2836,38993
INDI,3674,38995
TKNO,2836,39051
MYPS,7372,39054
GLUE,2836,39057
KTTA,2836,39089
TPST,2836,39104
SMTK,3674,39173
ABSI,2836,39175
IMRX,2836,39189
CGTX,2834,39290
CRBU,2836,39291
RLYB,2836,39359
OABI,2836,39399
TNGX,2836,39402
RZLV,7372,39408
AMOD,7372,39409
RNXT,2836,39411
CIFR,7372,39538
CING,2834,39620
IMMX,2836,39677
DNA,8731,39680
PYXS,2836,39683
JSPR,2836,39740
CNTN,2836,39755
IONQ,3571,39800
ABVC,2836,39801
AIP,7372,39805
XLO,2836,39806
TVGN,2836,39853
ONCO,2836,39863
TRDA,2836,39869
AURA,2836,39872
DERM,2834,39941
SABS,2836,39951
INTS,2836,39991
GMHS,7372,40593
MAIA,2836,41132
PEPG,2836,41225
BMR,7372,41498
BHVN,2836,41622
MLYS,2836,41916
UMAC,3728,42214
MGRX,2834,42220
SXTP,2834,42890
SLRN,2836,42892
PTHS,2836,42893
AZTR,2836,42984
MIRA,2834,43186
AIRE,7372,43211
MENS,2836,43229
MURA,2836,43551
CRGX,2836,43555
ITOC,7372,43756
OSTX,2836,43758
ZYBT,2836,43790
MGX,2836,43792
SVCO,7372,45320
INBX,2836,45388
ACTU,2836,45390
ALMS,2836,45447
MAZE,2834,45711
MEHA,2834,45712
MTSR,2836,45722
BCAX,2836,50516
ZBIO,2836,50517
MBX,2834,50526
BLIV,7372,50535
UPB,2836,50681
CAMP,2836,50682
SEPN,2834,50763
PONY,7372,50811
CRCL,7372,51461
NSRX,2834,60747
HBPCF,2834,61174
PLX,2836,62592
NBIX,2836,62921
AVDL,2834,63005
CASI,2834,63030
GERN,2836,63405
USNA,2834,63863
EMKR,3674,64637
QRVO,3674,64853
SRPT,2836,64857
SIGA,2834,65376
NOTV,8731,65905
INO,2836,66697
OWLS,7372,74444
BETA,3721,74628
BNBX,8731,106126
MRKR,2836,107843
LTXFF,7372,108363
ICLR,8731,110620
CLS,3674,112158
AUPH,2836,117829
SEOVF,2836,119615
WNDW,3674,122229
BMRN,2836,122257
ONCY,2834,126122
MTLK,3674,127114
SLAB,3674,133288
HSTM,7372,133766
MRVL,3674,137310
SOHU,7372,137611
SAVA,2834,137642
DGNOF,7372,141337
DVAX,2836,141496
ROWKF,7372,141537
TXDSF,7372,142539
CORT,2834,146616
BCLI,2836,153957
ADEA,7372,156153
MJNA,2834,157234
CRM,7372,157855
GSIT,3674,160213
INVA,2836,160668
BGMS,2836,160809
NNVC,2836,160997
CLRI,7372,164401
SPR,3728,164494
ITMSF,7372,166226
VNDA,2836,166435
AVXL,2836,166447
SILO,2836,170430
ORMP,2836,170450
NOW,7372,171007
PHIO,2836,171187
ALLT,7372,176021
EBS,2836,176022
NLST,3674,176035
TOVX,2834,177764
LIXT,2836,178291
CDXS,2836,179841
REPCF,2836,181900
ORKA,2836,182309
BUDZ,2834,183302
FTNT,7372,183377
OMER,2836,183593
JKS,3674,184182
IRWD,2834,184256
MXL,3674,184551
NXPI,3674,184725
VPG,3674,185138
ASMB,2836,185289
LEDS,3674,185380
NTRP,7372,185587
MGWFF,2834,186772
CLRB,2836,186974
VTGN,2836,187368
ENPH,3674,187450
TNXP,2836,190856
VSTM,2836,194255
TSM,3674,201395
UMC,3674,209341
RDY,2834,223098
MX,3674,233491
AUOTY,3674,242977
ATHE,2836,249507
BNTC,2836,254381
CPHRF,2834,260838
GRFS,2836,277812
VRNA,2834,284453
ADXN,2834,284699
IXHL,2834,284719
INCR,2834,287562
NBTX,2836,313966
MOLN,2836,318525
BDRX,2836,318815
VREOF,2834,331757
IMUX,2836,331856
ARMP,2836,332115
LIF,7372,332179
IBRX,2836,347007
RADX,2836,350935
EGAN,7372,124036
RDWR,7372,125074
PLUG,3674,125604
IFNNY,3674,132740
ON,3674,134932
CRL,8731,137131
NTES,7372,137435
ZIVO,2834,137441
CRIS,2836,138341
MNDO,7372,138521
SYNA,3674,142814
FENC,2836,143909
RVXCF,2836,145577
TBRG,7372,147849
RIOT,7372,148170
TDG,3728,148349
HALO,2836,151630
PLUR,2836,152008
LITS,2834,157865
MNKD,2836,160340
CRVW,7372,160367
MPWR,3674,160888
CVALF,2836,161840
MNOV,2836,162892
SIMO,3674,164211
TCRT,2836,165215
AIRI,3728,166087
SMME,3674,166743
SPLK,7372,170616
FOLD,2836,175008
SNOA,2834,175424
CPRX,2836,175966
CSIQ,3674,175982
MSLE,2834,176180
AVAV,3721,176362
HROW,2834,176636
NBY,2834,177228
CPIX,2834,178097
SBFM,2836,178118
IVDA,7372,178882
AYTU,2836,179461
IOVA,2836,180057
IBIO,2836,180683
AVGO,3674,180711
QNCCF,3674,180753
DQ,3674,184155
PCRX,2834,185836
TLPH,2834,185908
PKKFF,7372,186440
CNBX,2834,187166
CVSI,2834,187711
MTSI,3674,187740
GWRE,7372,190455
KONMY,7372,200595
SLN,2836,207257
OPTEY,2836,211559
EMBJ,3721,213288
ASX,3674,213412
TMICY,7372,223732
XTLB,2836,241335
GMAB,2836,245207
GENE,2836,246010
NEUP,2836,248780
IMMP,2836,253523
EYPT,2836,253527
PSTV,2836,254096
SMMT,2836,271357
MESO,2836,271607
GLPG,2836,272872
PPBT,2834,291758
AQB,2836,275862
HCM,2834,278153
IPHA,2836,281420
QURE,2836,285085
KMDA,2836,287111
OKYO,2836,289153
MYSZ,7372,296866
RDHL,2836,296885
SCNI,2836,297094
ALAR,7372,297434
ARGX,2836,318005
MREO,2836,321764
ALLR,2836,322154
IVA,2836,323476
ARBK,7372,327832
AAPG,2836,334288
IDAI,7372,345764
HELP,2834,346027
UTHR,2834,121440
VHC,7372,122175
MBXBF,2836,127514
AGEN,2834,129466
OONEF,7372,132602
RIGL,2834,133468
SGMO,2836,133871
EXEL,2836,133885
PXLW,3674,135044
INSM,2836,136186
CGEN,2836,138781
DRRX,2834,140044
VS,7372,140172
QIFTF,7372,141119
EXAS,8731,141277
ATIXF,7372,141308
ACAD,2836,141846
NWBO,2836,144887
APLD,7372,146738
CPHI,2834,148239
XTIA,3721,148396
GALT,2834,150221
NIKA,2834,154510
OGEN,2836,154605
CRDF,2836,155387
PMCB,2836,155913
DYAI,2836,158055
CYTK,2834,158563
PBH,2834,162335
GRVY,7372,162814
CYDY,2836,164720
PMN,2836,165266
BPTH,2836,165563
ASTI,3674,166460
IGC,2834,166491
VIVS,2836,170730
INLX,7372,170756
PBYI,2836,170945
BSPK,2834,170947
PTCT,2836,174134
FSLR,3674,175404
ISCO,2836,175649
IPGP,3674,175955
DMAC,2836,176992
JAZZ,2834,177287
POET,3674,177426
MDXG,2836,178157
FTLF,2834,178413
CLDX,2836,179598
CELZ,2836,182902
TXMD,2834,183322
KLTO,2836,183486
CRMD,2834,183945
MFON,7372,183964
AOSL,3674,184604
ATOS,2836,185659
SUPN,2834,186159
SQNS,3674,186962
FBIO,2836,196269
PHAR,2836,232135
EVO,8731,232623
XBIO,2836,237269
TLSA,2836,240066
IMRN,2836,247374
RCEL,2836,253355
ALNY,2836,264265
UCTT,3674,264416
BFNH,2834,264430
HIMX,3674,270705
CANF,2836,291881
CLLS,2836,282608
BLRX,2836,282715
RKNEF,7372,282960
GNFTY,2836,284353
VALN,2836,285556
EVGN,2836,286396
SPRC,2836,292284
DBVT,2836,312079
PRTC,2836,319917
ABVX,2836,319919
MXCT,8731,321429
WKEY,3674,321467
TLX,2836,325899
RNLXY,7372,329141
HITI,2834,330826
INDP,2836,349972
CMND,2834,349994
HLN,2834,353444
BTQ,7372,356257
QNRX,2834,351038
